Feature Name,Min Value,Max Value,Variance
mp_percentage,0.0,0.9999999666666678,0.015927222453284824
heat_percentage,0.0,0.9999999411764741,0.0068445647800726
armor_percentage,0.0,0.9999999500000026,0.029043448977143633
internal_percentage,0.0,0.9999998076923448,0.00572055216421948
jumping,0.0,0.9999999000000099,0.10512678825459386
distance_traveled,0.0,0.6804893032577088,0.0033218235246185676
hexes_moved,0.0,0.7499999988281251,0.004092592001880839
is_facing_enemy,0.0,0.9999999000000099,0.13143210283036602
enemy_in_range,0.0,0.9999999000000099,0.08994570300090501
allies_nearby,0.0,0.9999999916666668,0.03128646810007665
enemies_nearby,0.0,0.9999999941176471,0.021971700369917278
unit_health_average,0.0,0.9999999000000099,0.02778617353963705
unit_health_front,0.0,0.9999999996598639,0.073002451688422
unit_health_right,0.0,0.9999999979591837,0.07300245144011433
unit_health_left,0.0,0.9999999979591837,0.07300245144011433
unit_health_back,0.0,0.99999950000025,0.0290434228380585
damage_ratio,0.0,0.9999999988095238,0.037409060762069055
ecm_coverage,0.0,0.9999998500000226,0.00741608211692055
enemy_ecm_coverage,0.0,0.9999999000000099,0.056865786298461264
environmental_cover,0.0,0.9999999998751093,0.03270049951544463
environmental_hazards,0.0,0.9999999900000002,0.011475277089320867
favorite_target_in_range,0.0,0.9999998840579846,0.09905447606229667
flanking_position,0.0,0.9999999000000099,0.07699175229621952
formation_cohesion,0.0,0.9999998989899093,0.06537118322454413
formation_separation,0.0,0.9999999000000099,0.052941232897474357
formation_alignment,0.0,0.9999997500000625,0.08717419394649534
friendly_artillery_fire,0.0,0.9999999833333336,0.011894836511024976
covering_units,0.0,0.9999999000000099,0.04201707359878253
enemy_vip_distance,0.0,0.9999999986377843,0.023322373308430868
is_crippled,0.0,0.9999999000000099,0.01408746315428883
moving_toward_waypoint,0.0,0.9999999000000099,0.21633487974315627
unit_role,0.0,0.9999999959531087,0.009158734416493852
threat_by_sniper,0.0,0.9999998625000189,0.004414131064637903
threat_by_missile_boat,0.0,0.9999999604713873,0.004660520906565032
threat_by_juggernaut,0.0,0.999999934040512,0.005164845977918405
unit_tmm,0.0,0.9999999916666668,0.047577104068175204
piloting_caution,0.0,0.964285578683055,0.003553462129346194
retreat,0.0,0.9999999000000099,0.012631564175095648
scouting,0.0,0.999999891025653,0.04058601688000591
standing_still,0.0,0.9999999000000099,0.20395282477104726
strategic_goal,0.0,0.9999995450670253,0.00939634540748399
target_health,0.0,0.999999999782135,0.04253722464229241
target_within_optimal_range,0.0,0.9999999000000099,0.047560739525180015
turns_to_encounter,0.0,0.9999999978665377,0.0029813126991630455
chance_of_failure,0.0,0.9999999900000002,0.008401687405436021
max_range,0.0,0.9999999961538462,0.058718703964772426
total_damage,0.0,0.9999999989795919,0.03628882837950697
unit_role_0,0.0,0.9999999000000099,0.009162063393985865
unit_role_1,0.0,0.9999999000000099,0.213501131667545
unit_role_2,0.0,0.9999999000000099,0.03131894135144001
unit_role_3,0.0,0.9999999000000099,0.04333630895429715
unit_role_4,0.0,0.9999999000000099,0.026575885275762986
unit_role_5,0.0,0.9999999000000099,0.184361480050772
unit_role_6,0.0,0.9999999000000099,0.15648586595319855
unit_role_7,0.0,0.9999999000000099,0.054642677538806646
